player_id,name,stats_url,year,overall_winrate,citizen_winrate,sheriff_winrate,mafia_winrate,don_winrate,total_games,citizen_games,sheriff_games,mafia_games,don_games,extra_points_avg_10_games,extra_points_mafia_avg,extra_points_don_avg,extra_points_citizen_avg,extra_points_sheriff_avg,overall_rank,citizen_rank,sheriff_rank,mafia_rank,don_rank,overall_score,player_category,region
5789,Х.О.,https://gomafia.pro/stats/5789,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5811,Спок blg,https://gomafia.pro/stats/5811,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5811,Спок blg,https://gomafia.pro/stats/5811,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5821,Werst,https://gomafia.pro/stats/5821,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5821,Werst,https://gomafia.pro/stats/5821,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5822,Brajka,https://gomafia.pro/stats/5822,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5822,Brajka,https://gomafia.pro/stats/5822,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5823,Курсед,https://gomafia.pro/stats/5823,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5823,Курсед,https://gomafia.pro/stats/5823,2024,33,33,100,0,0,12,9,1,2,0,0.5,0.0,0.0,0.04,0.2,2289.0,1548.0,439.0,856.0,439.0,6.549044197098055,Intermediate,far_east
5824,Зет,https://gomafia.pro/stats/5824,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5824,Зет,https://gomafia.pro/stats/5824,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5825,PELIMENI,https://gomafia.pro/stats/5825,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5825,PELIMENI,https://gomafia.pro/stats/5825,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5826,PELIMENI,https://gomafia.pro/stats/5826,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5826,PELIMENI,https://gomafia.pro/stats/5826,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5827,Савка,https://gomafia.pro/stats/5827,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5827,Савка,https://gomafia.pro/stats/5827,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5828,ГАШ,https://gomafia.pro/stats/5828,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5828,ГАШ,https://gomafia.pro/stats/5828,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5830,Mor,https://gomafia.pro/stats/5830,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5830,Mor,https://gomafia.pro/stats/5830,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5831,Достоевский,https://gomafia.pro/stats/5831,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5831,Достоевский,https://gomafia.pro/stats/5831,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5832,Хис,https://gomafia.pro/stats/5832,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5832,Хис,https://gomafia.pro/stats/5832,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5833,Кот Балу,https://gomafia.pro/stats/5833,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5833,Кот Балу,https://gomafia.pro/stats/5833,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5840,Крест,https://gomafia.pro/stats/5840,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5840,Крест,https://gomafia.pro/stats/5840,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5841,Ванга number one,https://gomafia.pro/stats/5841,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5841,Ванга number one,https://gomafia.pro/stats/5841,2024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2467.0,1548.0,439.0,856.0,439.0,5.236839038601602,Novice,far_east
5844,Samsonik,https://gomafia.pro/stats/5844,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
5844,Samsonik,https://gomafia.pro/stats/5844,2024,54,59,0,50,50,24,17,1,4,2,0.42,0.1,0.0,0.04,0.0,1474.0,329.0,439.0,856.0,439.0,9.003262461039137,Advanced,far_east
5850,DocTopXayc,https://gomafia.pro/stats/5850,2023,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2051.0,1235.0,312.0,653.0,321.0,5.236839038601602,Novice,far_east
