player_id,name,stats_url,year,overall_winrate,citizen_winrate,sheriff_winrate,mafia_winrate,don_winrate,total_games,citizen_games,sheriff_games,mafia_games,don_games,extra_points_avg_10_games,extra_points_mafia_avg,extra_points_don_avg,extra_points_citizen_avg,extra_points_sheriff_avg
4895,NemoPatron,https://gomafia.pro/stats/4895,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4895,NemoPatron,https://gomafia.pro/stats/4895,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4896,_Smile,https://gomafia.pro/stats/4896,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4896,_Smile,https://gomafia.pro/stats/4896,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4898,Cherry pick,https://gomafia.pro/stats/4898,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4898,Cherry pick,https://gomafia.pro/stats/4898,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4907,L.e.x.,https://gomafia.pro/stats/4907,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4907,L.e.x.,https://gomafia.pro/stats/4907,2024,22,20,0,17,67,,20 (63%),3 (9%),6 (19%),3 (9%),0.28,0,0.2,0.02,0
4909,Дядя Саня,https://gomafia.pro/stats/4909,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4909,Дядя Саня,https://gomafia.pro/stats/4909,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4910,Morti,https://gomafia.pro/stats/4910,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4910,Morti,https://gomafia.pro/stats/4910,2024,32,13,33,67,67,,23 (56%),6 (15%),6 (15%),6 (15%),0.8,0.18,0.17,0.04,0.03
4911,Bublik,https://gomafia.pro/stats/4911,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4911,Bublik,https://gomafia.pro/stats/4911,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4916,S_Зеро,https://gomafia.pro/stats/4916,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4916,S_Зеро,https://gomafia.pro/stats/4916,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4917,John Galt,https://gomafia.pro/stats/4917,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4917,John Galt,https://gomafia.pro/stats/4917,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4920,Брауни,https://gomafia.pro/stats/4920,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4920,Брауни,https://gomafia.pro/stats/4920,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4921,Etienne,https://gomafia.pro/stats/4921,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4921,Etienne,https://gomafia.pro/stats/4921,2024,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4922,Альпачино,https://gomafia.pro/stats/4922,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
4922,Альпачино,https://gomafia.pro/stats/4922,2024,36,25,50,25,100,,4 (36%),2 (18%),4 (36%),1 (9%),1,0.03,0,0.2,0.1
4927,Шмель,https://gomafia.pro/stats/4927,2023,0,0,0,0,0,,0 (0%),0 (0%),0 (0%),0 (0%),0,0,0,0,0
